,trading_day_end_time_eod
EURUSD10B1M BGN Curncy,22:59:59
EURUSD25R1M BGN Curncy,22:59:59
EURUSD25B1M BGN Curncy,22:59:59
EURUSDV3M BGN Curncy,22:59:59
EURUSD10R3M BGN Curncy,22:59:59
EURUSD10B3M BGN Curncy,22:59:59
EURUSD25R3M BGN Curncy,22:59:59
EURUSD25B3M BGN Curncy,22:59:59
EURUSDV6M BGN Curncy,22:59:59
EURUSD10R6M BGN Curncy,22:59:59
EURUSD10B6M BGN Curncy,22:59:59
EURUSD25R6M BGN Curncy,22:59:59
EURUSD25B6M BGN Curncy,22:59:59
EURUSDV1Y BGN Curncy,22:59:59
EURUSD10R1Y BGN Curncy,22:59:59
EURUSD10B1Y BGN Curncy,22:59:59
EURUSD25R1Y BGN Curncy,22:59:59
EURUSD25B1Y BGN Curncy,22:59:59
GBPAUDV1W BGN Curncy,22:59:59
GBPAUD10R1W BGN Curncy,22:59:59
GBPAUD10B1W BGN Curncy,22:59:59
GBPAUD25R1W BGN Curncy,22:59:59
GBPAUD25B1W BGN Curncy,22:59:59
GBPAUDV1M BGN Curncy,22:59:59
GBPAUD10R1M BGN Curncy,22:59:59
GBPAUD10B1M BGN Curncy,22:59:59
GBPAUD25R1M BGN Curncy,22:59:59
GBPAUD25B1M BGN Curncy,22:59:59
GBPAUDV3M BGN Curncy,22:59:59
GBPAUD10R3M BGN Curncy,22:59:59
GBPAUD10B3M BGN Curncy,22:59:59
GBPAUD25R3M BGN Curncy,22:59:59
GBPAUD25B3M BGN Curncy,22:59:59
GBPAUDV6M BGN Curncy,22:59:59
GBPAUD10R6M BGN Curncy,22:59:59
GBPAUD10B6M BGN Curncy,22:59:59
GBPAUD25R6M BGN Curncy,22:59:59
GBPAUD25B6M BGN Curncy,22:59:59
GBPAUDV1Y BGN Curncy,22:59:59
GBPAUD10R1Y BGN Curncy,22:59:59
GBPAUD10B1Y BGN Curncy,22:59:59
GBPAUD25R1Y BGN Curncy,22:59:59
GBPAUD25B1Y BGN Curncy,22:59:59
GBPCADV1W BGN Curncy,22:59:59
GBPCAD10R1W BGN Curncy,22:59:59
GBPCAD10B1W BGN Curncy,22:59:59
GBPCAD25R1W BGN Curncy,22:59:59
GBPCAD25B1W BGN Curncy,22:59:59
GBPCADV1M BGN Curncy,22:59:59
GBPCAD10R1M BGN Curncy,22:59:59
GBPCAD10B1M BGN Curncy,22:59:59
GBPCAD25R1M BGN Curncy,22:59:59
GBPCAD25B1M BGN Curncy,22:59:59
